eg,en,jo,msa,pa,sy,tn,prompt,response
ويجب علينا زياده توعيتهم,We have to increase their awareness.,ولازم نوعيهم,ويجب علينا زياده توعيتهم,ومفروض منا زيادة توعيتهم,ولازم نحنا نزيد توعيتهم,و لازمنا نزيدو نوعيوهم,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ويجب علينا زياده توعيتهم
Source: We have to increase their awareness.
Translation: ",نحن نحتاج لزيادة توعيتهم
وانه يكون خلوق وخجول بس مش خجول اوي ويكون في كل المواقف راجل,"And be very nice, shy but not very shy or be in all the stands a man",وانو يكون خلوق وخجول بس مش خجول كتيرويكون زلمة بكل المواقف,وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف,وانو يكون خلوق وخجول بس مش كتير ويكون رجل في كل المواقف,وانو يكون مؤدب وخجول بس مو خجول كتير ويكون في كل المواقف رجال,و انو يكون متخلق و حشا اما موش حشام برشا و يكون راجل في كل المواقف,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف
Source: And be very nice, shy but not very shy or be in all the stands a man
Translation: ",وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف
جميلة جدا مدونتك,Your blog is very nice,كتير حلوة مدونتك,مدونتك جميلة جداً,كتير حلوه مدونتك,حلوة كتير كتاباتك,مزيانة برشا مدونتك,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مدونتك جميلة جداً
Source: Your blog is very nice
Translation: ",مدونتك جميلة جداً
في حالة اني اتأكدت من تصرفاتها وبعدين اقول لماما,"In the case I am sure of her behavior, I will tell my mother",بس اتاكد من تصرفاتها بحكي لماما,في حالة اني تأكدت من تصرفاتها سأخبر والدتى,بحكيلك لو سمحتي اعطيني ميه بس المدير بقول هاتي ميه,بدي أتأكد ن تصرفاتها وبعدين أقول لماما,في حالة نتاكد من تصرفاتها و مبعد نقول لماما,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.في حالة اني تأكدت من تصرفاتها سأخبر والدتى
Source: In the case I am sure of her behavior, I will tell my mother
Translation: ",في حالة اني تأكدت من تصرفاتها سأخبر والدتى
على فكرة انا اتكلمت عن الموضوع ده في مدونتي ..,"by the way, i spoke about this in my blog",على فكرة انا حكيت عن هالموضوع في مدونتي,لقد تحدثت فى هذا الموضوع فى مدونتى,على فكره انا حكيت عن هالموضوع في كتابي,على فكرة أنا حكيت عن الموضوع هاد في كتابياتي,على فكرة انا حكيت على الموضوع هذا في مدونتي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لقد تحدثت فى هذا الموضوع فى مدونتى
Source: by the way, i spoke about this in my blog
Translation: ",بالتالي، أكدت عن ذلك في مدونتي
رد التاني عليه اللي مضايقني ان الترابزين واطي أوي,the other said: what bothers me is that it is very low,"رد التاني , الي مدايقني انو واطي كتير",رد الثانى عليه الذى يضايقنى أن السور قصير جداً,رد الثاني عليه اللي مذايقني انو الدرابزين خابط عالآخر,رد التاني عليه قلو الي مضايقني أنو الطاولة واطية كتير,جاوبو الثاني اللي مقلقني انو واطي برشا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.رد الثانى عليه الذى يضايقنى أن السور قصير جداً
Source: the other said: what bothers me is that it is very low
Translation: ",وقال الآخر: ما يضيقني هناك هو أنه قصير جداً
و عليكم السلام و رحمة الله و بركاته أختي شيماء,"and to you peace and mercy and blessings of god,sister shayma",وعليكم السلام ورحمة الله وبركاته اختي شيماء,وعليكم السلام و رحمة الله و بركاته أختي شيماء,وعيكم السلام ورحمة الله وبركاته شيماء,وعليكم السلام ورحمة الله وبركاته أختي شيماء,و عليكم السلام و رحمة الله و بركاته أختي شيماء,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وعليكم السلام و رحمة الله و بركاته أختي شيماء
Source: and to you peace and mercy and blessings of god,sister shayma
Translation: ",وعليكم السلام و رحمة الله و بركاته أختي شيماء
ياريت نصالح القطر على نفسة ونعيد لية فرحتة وسعادتة بس مش على حساب الناس والغلابة اللى بتحبة,"I hope we make peace with the train, and return his happiness but not on the account of the people and the poor ones who love him",يا ريت نصالح القطار على حالو ونرجعلو فرحتو بس مش على حساب الناس المسكينة اللي بتحبو,اري  انه من اضرورى  الان  مصالحه  القطار على ونفسه . ولكن  لايجب  ان  نتعدى على  حقوق   جموع  الشعب من  محبيه .,يا ريت نصلح القطار  بس مش على حساب الفقرا الي بستخدموه,ياريت نصالح البلد على حالو ونرجع نعيد الو فرحتو وسعادته بس مو على حساب الناس الفقيرة الي بتحبو,نتمناو نصلحوا القطر على روحو و نرجعولو فرحتو و سعادتو اما موش على حساب الناس الزواولة اللي تحبو,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اري  انه من اضرورى  الان  مصالحه  القطار على ونفسه . ولكن  لايجب  ان  نتعدى على  حقوق   جموع  الشعب من  محبيه .
Source: I hope we make peace with the train, and return his happiness but not on the account of the people and the poor ones who love him
Translation: ",اري انه من اضرورى الان مصالحه القطار على ونفسه. ولكن لايجب ان نتعدى على حقوق جموع الشعب من محبيه.
النوابغ اللى هيطورا دنيتنا,The geniuses who will develop our world.,العباقرة رح يطورو الدنيا,النوابغ من  سيطور  دنيانا .,النوابغ اللي بدهم يطوروا عالمنا,النوابغ الي رح يطورو دنيتنا,النوابغ اللي باش يطورولنا دنيتنا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.النوابغ من  سيطور  دنيانا .
Source: The geniuses who will develop our world.
Translation: ",نوابغ الجينس الذين سيتم تطوير العالم الحالي.
يا حلاوة يا اولاد ..,oh sweet boys,يا حلاوة يا ولاد,يالا  الروعه .,يا الله يا اولاد..,يا سلام يا ولاد,ملا عسل يا لولاد,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يالا  الروعه .
Source: oh sweet boys
Translation: ",يالا  الروعه.
ألف ألف ألف شكر بجد ..,a thousand thanks seriously,جد الف الف الف شكرا,صدقاً شكراً جزيلاً ..,شكرا شكراااا عن جد,ألف أألف ألف شكراً عنجد .....,ألف ألف ألف شكر بالحق ..,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.صدقاً شكراً جزيلاً ..
Source: a thousand thanks seriously
Translation: ",جزيلاً شكراً صدقاً
تحلم معايا الشيماء حامد,would you dream with me? Alshayma' Hamed,تحلم معي الشيماء حامد,تحلم معى الشيماء حامد,شيماء حامد تحلم معايا,بتحلم معي الشيماء حامد,نحلم بشيماء حامد معايا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.تحلم معى الشيماء حامد
Source: would you dream with me? Alshayma' Hamed
Translation: ",تحلم معى الشيماء حامد؟
تحياتى,my regards,تحياتي,تحياتى,تحياتي,سلامات,تحياتى,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.تحياتى
Source: my regards
Translation: ",مي رغماتي
والمجال ده انا بحبه جدا خاصة الشخصيات ومدى احساسك وانتى تكتبى,and this field i like it so much specially the characters and How you feel while you are writing,المجال هاد كتير بحبو خاصة الشخصيات واحساسك وانتي بتكتبي,هذا من المجالات المحببه لى  وخاصه  مدى  احساسك  ودقتك عندما  تكتبين الشخصيات .,انا بحب هدا المجال كتير خاصه الشخصيات ومدى الاحساس وانتي تكتبي,والمجال هاد أنا بحبه كتير خاصة الشخصيات ومدى أحساسك وأنتي عم تكتبي,وإختصاص هذا أنا نحبو خاصةً كي تبدا تكب على الشخصيات والإحساس إلي تحسو,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هذا من المجالات المحببه لى  وخاصه  مدى  احساسك  ودقتك عندما  تكتبين الشخصيات .
Source: and this field i like it so much specially the characters and How you feel while you are writing
Translation: ",وهذا المجال يحبه بالغ وخاصه مدى احساسك ودقتك عندما تكتبين الشخصيات.
ولا حاجة بس أنا بتعلم العزف على العود على قدي كده,Or a thing but I learned to play on Ood as I can like this,ولا اشي بس انا عم بتعلم عالعود يعني على قدي,لا شئ و لكنى أتعلم العزف على العود على قدر المستطاع,ما في اشي  بس بتعلم العزف براحتي هيك,ولا شي بس أنا عم أتعلم على العزف على العود على قدي هيك,حتى شئ اما انا قاعد نتعلم العزف على العود على قد ما انجم,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لا شئ و لكنى أتعلم العزف على العود على قدر المستطاع
Source: Or a thing but I learned to play on Ood as I can like this
Translation: ",أو أشيء و لكني أتعلم العزف على العود على قدر المستطاع
سبت حد اتنين .. يختلفوا فى الأسماء لكنهم فى الآخر زى بعض ..,Saturday Sunday Monday... different in the names but at the end such as each other,سبت واحد واتنين الاسم غير بس كلهم زي بعض,السبت  والاحد والاثنين .... يختلفوا  فى الاسماء  ولكنهم  يتشابهون  تماما .,السبت الاحد الاثنين .. بختلفوا في الاسماء بس هم في الاخر زي بعض ..,السبت والأحد والأثنين ... بيختلفو في الأسم بس كلن متل بعض ....,سبت أحد إثنين ...مختلفين فالإسم اما كيف بعضهم,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.السبت  والاحد والاثنين .... يختلفوا  فى الاسماء  ولكنهم  يتشابهون  تماما .
Source: Saturday Sunday Monday... different in the names but at the end such as each other
Translation: ",سبت  والاحد والاثنين.... يختلفوا  فى الاسماء  ولكنهم  يتشابهون  تماما.
طيب الحمد لله و نعيده الموضوع لو كان منقول بس فيه فائدة حاجة جديدة ده جميل و يهمنا الكل يستفيد منه,"OK, thanks God, we present the thread again, even if it's copied, at least it's beneficial and contains new subject which is nice and everyone can benefit from it ...","طيب الحمد لله وبنعيد , الموضوع لو كان منقول بس في فائدة جديدة هاد حلو كتير وبهمنا الكل يستفيد",حسناً الشكر للرب نتقدم بالموضوع مرة اخرى و كأنه منسوخ على الاقل فيه فائده جديدة و الجميل يحتوى موضوع جديد و الاهم ان الجميع يستفاد منه,طيب الحمدلله ونعيده الموضوع لو كان منقول بس في اشي جديد ومهم وممكن الكل يستفيد منه,طيب الحمدالله ونعيد الموضوع لو كان منقول بس فيه شي مفيد جديد وهو جميل وبيهمنا الكل يستفيد منو,باهي و الحمد لله و نعاودوا تقديم الموضوع حتى لو كان مسجل على الاقل حاجة مفيدة و فيها برشا مواضيع جديدة و الكل ينجموا يستفادوا منو,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حسناً الشكر للرب نتقدم بالموضوع مرة اخرى و كأنه منسوخ على الاقل فيه فائده جديدة و الجميل يحتوى موضوع جديد و الاهم ان الجميع يستفاد منه
Source: OK, thanks God, we present the thread again, even if it's copied, at least it's beneficial and contains new subject which is nice and everyone can benefit from it ...
Translation: ",حسناً الشكر للرب نتقدم بالموضوع مرة اخرى و كأنه منسوخ على الاقل فيه فائده جديدة و الجميل يحتوى موضوع جديد و الاهم ان الجميع يستفاد منه
انا وتقول ان انا اللى مقتنع بالكلام دة,And say that it is I who is convinced of this talk.,انا وبتحكي انو انا الي مقتنع بهاد الحكي,انا !! و تقول انى الذى مقتنع بهذا الكلام ؟,انا وبتقول اني مقتنع بهدا الحكي,أنا وتقول أن أنا اللي مقتنع بالكلام هاد,انا وتقول انا اللى مقتنع بالكلام هذا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انا !! و تقول انى الذى مقتنع بهذا الكلام ؟
Source: And say that it is I who is convinced of this talk.
Translation: ",و تقول انى الذى مقتنع بهذا الكلام ؟
ماهو مفيش ملك فقير بردو,As there is no poor king,مهو برضو ما في ملك فقير,وايضا لا يوجد  ملك  فقير .,مهو كمان مفش ملك فقير,وكمان مافي ملك فقير,ما تلقاش ملك زوالي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وايضا لا يوجد  ملك  فقير .
Source: As there is no poor king
Translation: ",وايضا لا يوجد  ملك  فقير.
وقلوب الفقراء أوعية القناعة ..,"and the hearts of the poor, a means to satisfaction...",قلوب الفقراء اوعية القناعة,وقلوب الفقراء أوعية القناعة ..,وقلوب الفقراء اوعيه القناعه ...,وقلوب الفقراء أكتر قناعة,قلوب الفقراء قنوعة,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وقلوب الفقراء أوعية القناعة ..
Source: and the hearts of the poor, a means to satisfaction...
Translation: ",وقلوب الفقراء أوعية القناعة..
رغم إني المفروض من الناس المتفوقة المتوقع لهم ما فوق التسعين,although I am supposed to be of the excellent people who are expected to have above ninety,مع اني من المتفوقين الي متوقع الهم فوق التسعين,رغم إننى من المفترض من الناس المتفوقين المتقع لهم فوق التسعين,مع اني من المتفوقين لاوالمتوقع الهم فوق التسعين,رغم أنو المقروض هو من الناس المتفوقة المتوقع الهم يجيبو فوق  التسعين,اما المفروض الناس المتفوقة يفوتوا التسعين,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.رغم إننى من المفترض من الناس المتفوقين المتقع لهم فوق التسعين
Source: although I am supposed to be of the excellent people who are expected to have above ninety
Translation: ",بعد التسعين، والتي تم المتوقع عليها من شعب الفوق الذي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن يكونوا على مستوى تسعين، والتي يمكنهم أن
وحينما أكون مضفقا أرى الشفقة في الآخرين,"and when I feel pity, I see the pathos in others",لما اكون متدايق بشفق عالناس التانيين,استطيع ان  ارى  الشفقه  فى  اعين الاخرين  وذلك  وقت  ضيقى .,وحينما اكون مضفقا ارى الشفقه في الاخرين,ووقت بكون متضايقة بشوف الشفقة في الناس,وكي نبدا فاد نشوف لخرين ساخفين علي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.استطيع ان  ارى  الشفقه  فى  اعين الاخرين  وذلك  وقت  ضيقى .
Source: and when I feel pity, I see the pathos in others
Translation: ",وعندما استطيع ان ارى الشفقة فى اعين الاخرين وذلك وقت ضيقى.
طبعا لما يكون الموضوع المنقول يستاهل يعني فيه الصفات و الخصائص اللي لسه قايلينها من شوية شكرا لك أختي ايمي على الاهتمام,offcourse transported subject is deserved meaning has adjectives and properties which is said lately thanks to you my sister emey on care,طبعا لما يكون الموضوع المنقول بستاهل يعني في الصفات والخصائص الي لسا حكيناها شكرا لك اختي ايمي على الاهتمام,بالطبع عندما يكون الموضوع المنقول يستحق بمعنى ان يحتوى على الصفات و الخصائص التى قيلت اخيراً ، شكراً لكى أختى الكريمة على الاهتمام,الموضوع المنقول بستاهل انو ننقله لانو فيه الصفات والخصائص اللي حكيناها قبل شوي وشكرا الك ايمي على اهتمامك,طبعا لما بكون الموضع المنقول بيستاهل يعني في الصفات والأقتراحات  الي لسه شفيها من شوي شكرا ألك اختي ايمي على الأهتمام,بالطبيعة وقت اللي يكون الموضوع المنقل يستاهل يعني فيه الصفات و الخصائص اللي مازال كيف قلناها توى نشكروك اختي ايمي على الاهتمام,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بالطبع عندما يكون الموضوع المنقول يستحق بمعنى ان يحتوى على الصفات و الخصائص التى قيلت اخيراً ، شكراً لكى أختى الكريمة على الاهتمام
Source: offcourse transported subject is deserved meaning has adjectives and properties which is said lately thanks to you my sister emey on care
Translation: ",بالطبع عندما يكون الموضوع المنقول يستحق بمعنى ان يحتوى على الصفات و الخصائص التى قيلت اخيراً، شكراً لكى أختى الكريمة على الاهتمام
اصحابي الحلوين كلكم بحبكم,"my beautiful friends, I love you all",اصحابي الحلوين بحبكم كلكم,اصحابي الحلوين كلكم بحبكم,اصدقائي يا حلوين الكوا كل المحبه والاحترام,رفقاتي الحوين كلكم بحبكم,اصحابي الغاليين الكلكم نحبكم,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اصحابي الحلوين كلكم بحبكم
Source: my beautiful friends, I love you all
Translation: ",اصحابي الحلوين كلكم بحبكم
هوا احنا عملنا ايييه ؟؟,what did we do ??,هو احنا شو عملنا ؟؟,ماذا فعلنا نحن ؟؟,واحنا شو سوينا ؟,هو نحنا شو عملنا ؟؟؟؟؟,و احنا شنوى عملنا؟؟,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ماذا فعلنا نحن ؟؟
Source: what did we do ??
Translation: ",ماذا فعلنا نحن ؟؟
قلت له افهمها زى ما تفهما يا ابن هنيه،,I told him you can understand it the way you like Hanya's son,حكتلو افهما زي ما بدك يا ابن هنية,قلت له افهمها كما تفهمها,يا ابن هنيه افهمها زي ما بدك,قلتلو أفهما متل ما بدك تفهما يا أبن هنية,قتلو افهمها كيما تفهمها يا ولد هنية,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.قلت له افهمها كما تفهمها
Source: I told him you can understand it the way you like Hanya's son
Translation: ",قلت له افهمها كما تفهمها
دة لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان ممكن سنين,"If she could forget, maybe weeks, months and years",هاد لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان سنين,هذا اذا استطعت ان تنسى من الممكن اسابيع او شهور و ايضا سنوات,ممكن اسابيع وممكن شهور وممكن سنين كمان هدا لو قدرت تنسى,هاد لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان ممكن سنين,هذا كان نجمت تنسى يمكن تقعد اسابيع ولا شهور ولا عوام وشوف تنسى ولا لا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هذا اذا استطعت ان تنسى من الممكن اسابيع او شهور و ايضا سنوات
Source: If she could forget, maybe weeks, months and years
Translation: ",إذا تمكنت من تنسي من الممكن اسابيع أو أشهر و أيضاً سنوات
على كل حال صدقيني انا بحب الحيوانات كتير اوي اوي,"anyway, believe me, I love animals a lot",على كل حال صدقيني انا بحب الحيوانات كتير كتير,على كل حال  صدقينى انا احب الحيوانات كثيرا جداا جداا,على كل حال صدقيني انا كتير بحب الحيوانات,على كل حال صدقيني أنا بحب الحيوانات كتير كتير كتير,على كل حال صدقيني انا نحب الحيوانات برشا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.على كل حال  صدقينى انا احب الحيوانات كثيرا جداا جداا
Source: anyway, believe me, I love animals a lot
Translation: ",على كل حال  صدقينى انا احب الحيوانات كثيرا جداا جداا
بس في الحاله دي وهي القياده حيكون الحمل كبير اوي,"but in this case, it'll be a burden to be a leader",بس في حالة القيادة هاي رح يكون الحمل كبير كثير,و لكن فى هذه الحاله و هى القياده سيكون الحمل كبير جداا,بس في هاي الحاله حالة القياده رح يكون الحمل كبير كثير,بس في الحالة هي وفي القيادة رح يكون الحمل كبير كتير,اما في الحالة هاذي شكون أدمين لحكاية صعيبة عليه برشا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و لكن فى هذه الحاله و هى القياده سيكون الحمل كبير جداا
Source: but in this case, it'll be a burden to be a leader
Translation: ",و لكن فى هذه الحاله و هى القياده سيكون الحمل كبير جداا
وياريت ياوالدى لو كانت بنت الحاج فلان,And Otnmny to be the daughter of Mr.flan.,ويا ريت لو انها بنت الحج فلان,و ليت يا والدى اذا كانت ابنة الحاج,ويا ريت يابا لو هي بنت الحج فلان,وياريت يا بابا لو كنت بنت الحج فلان,و شخص يا ولدي كان جيت ولد سي فلان,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و ليت يا والدى اذا كانت ابنة الحاج
Source: And Otnmny to be the daughter of Mr.flan.
Translation: ",و ليت يا والدى اذا كانت ابنة الحاج
عشان نشوفلك علاج فى مستشفى الحلزونة مجانا,to see to you an cure at halzona hospital for free,عشان نشوفلك علاج مجاني في مستشفى الحلزونة,كى نجد لك علاج فى مستشفى الحلزونة مجاناً,عشان نشوفلك علاج فى مستشفى الحلزونة مجانا,مشان نشوفلك علاج في مستسفى الحلزونة مجاناً,على خاطر بش نشوفلك الدواء في صبيطار الحلزونة بلاش,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كى نجد لك علاج فى مستشفى الحلزونة مجاناً
Source: to see to you an cure at halzona hospital for free
Translation: ",لك علاج فى مستشفى الحلزونة مجاناً
فعلى صوته شوية قدامك شجرة برضه مردش عليه,"He raised his voice a little and said there is a tree ahead, also he didn't reply to him",على صوتو وحكى قدامك شجرة برضو ما رد علي,و رفع صوته قليلا قدامك شجره و لم يجيب عليه,ورفع صوته وقال قدامك شجره وكمان ما رد عليه,وعلى صوتو شوي وقلو قدامك شجرة كمان ما رد عليه,علي صوتك شوية قدامك شجرة باش نجم نرجع عليك,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و رفع صوته قليلا قدامك شجره و لم يجيب عليه
Source: He raised his voice a little and said there is a tree ahead, also he didn't reply to him
Translation: ",و رفع صوته قليلا قدامك شجره و لم يجيب عليه
